Text,Language
Mbogi ame-hepa mtaa.,Sheng
Huyu boy ina-bamba downtown.,Sheng
Msee ame-omoka downtown.,Sheng
Ma-dem ame-omoka job.,Sheng
Arif ina-lapa mtaa.,Sheng
Ma-dem ana-dai mashinani.,Sheng
Arif ame-hepa area.,Sheng
Manzi ana-zusha downtown.,Sheng
Ma-dem tuna-chill mashinani.,Sheng
Buda ina-lapa kwa matha.,Sheng
Karao tuna-chill base.,Sheng
Rasta tuna-chill chuom.,Sheng
Huyu boy ame-hepa kwa keja.,Sheng
Buda wame-kam kwa keja.,Sheng
Karao ina-lapa chuom.,Sheng
Rasta ame-hepa area.,Sheng
Rasta tuna-chill base.,Sheng
Buda ame-hepa downtown.,Sheng
Donda ame-hepa area.,Sheng
Mbogi ana-dai job.,Sheng
Mbogi ana-zusha base.,Sheng
Manzi tuna-chill tao.,Sheng
Buda ana-dai tao.,Sheng
Donda ime-weza base.,Sheng
Manzi ana-zusha kwa keja.,Sheng
Karao tuna-chill area.,Sheng
Msee tuna-chill area.,Sheng
Huyu boy ina-bamba kwa keja.,Sheng
Msee tuna-chill tao.,Sheng
Buda ime-weza chuom.,Sheng
Msee ime-weza tao.,Sheng
Donda wame-kam area.,Sheng
Donda ime-weza mashinani.,Sheng
Buda ina-bamba tao.,Sheng
Huyu boy ime-weza mashinani.,Sheng
Arif ame-hepa chuom.,Sheng
Ma-dem ame-doz mashinani.,Sheng
Huyu boy tuna-chill tao.,Sheng
Rasta ina-bamba area.,Sheng
Buda ana-dai kwa keja.,Sheng
Donda ana-zusha mtaa.,Sheng
Karao ana-zusha job.,Sheng
Arif tuna-chill mashinani.,Sheng
Buda wame-kam chuom.,Sheng
Donda ame-omoka base.,Sheng
Manzi ame-omoka kwa matha.,Sheng
Manzi ime-weza base.,Sheng
Manzi ame-doz base.,Sheng
Ma-dem ame-hepa downtown.,Sheng
Msee tuna-chill base.,Sheng
Arif tuna-chill kwa matha.,Sheng
Huyu boy ame-doz job.,Sheng
Huyu boy ame-omoka kwa matha.,Sheng
Huyu boy ina-bamba tao.,Sheng
Manzi ame-hepa kwa keja.,Sheng
Donda wame-kam kwa keja.,Sheng
Donda wame-kam tao.,Sheng
Karao ana-zusha kwa matha.,Sheng
Donda ame-omoka kwa matha.,Sheng
Buda ana-zusha kwa matha.,Sheng
Msee ame-hepa chuom.,Sheng
Ma-dem ame-omoka downtown.,Sheng
Rasta ame-doz area.,Sheng
Huyu boy ame-hepa mashinani.,Sheng
Msee ime-weza area.,Sheng
Manzi tuna-chill mtaa.,Sheng
Mbogi ame-doz kwa matha.,Sheng
Manzi ina-bamba kwa matha.,Sheng
Buda ame-hepa tao.,Sheng
Buda wame-kam tao.,Sheng
Karao ime-weza mtaa.,Sheng
Msee ime-weza base.,Sheng
Rasta ana-dai chuom.,Sheng
Ma-dem ime-weza base.,Sheng
Rasta tuna-chill kwa keja.,Sheng
Mbogi ime-weza area.,Sheng
Ma-dem wame-kam area.,Sheng
Rasta ana-zusha base.,Sheng
Msee ana-dai area.,Sheng
Donda ina-bamba downtown.,Sheng
Karao ana-dai chuom.,Sheng
Manzi ame-doz kwa keja.,Sheng
Buda ana-zusha mashinani.,Sheng
Huyu boy ana-dai tao.,Sheng
Ma-dem wame-kam base.,Sheng
Karao ame-doz tao.,Sheng
Msee tuna-chill job.,Sheng
Karao ana-zusha area.,Sheng
Arif ame-hepa kwa matha.,Sheng
Buda ana-dai area.,Sheng
Arif wame-kam base.,Sheng
Huyu boy ame-omoka base.,Sheng
Ma-dem ana-dai base.,Sheng
Huyu boy ame-omoka area.,Sheng
Ma-dem wame-kam chuom.,Sheng
Buda ame-doz job.,Sheng
Arif ime-weza kwa keja.,Sheng
Huyu boy ana-zusha mashinani.,Sheng
Manzi wame-kam mtaa.,Sheng
Msee wame-kam tao.,Sheng
Msee wame-kam kwa matha.,Sheng
Huyu boy ame-hepa base.,Sheng
Karao ime-weza downtown.,Sheng
Mbogi ina-lapa mtaa.,Sheng
Rasta ina-lapa kwa keja.,Sheng
Karao ame-doz mashinani.,Sheng
Buda ame-hepa area.,Sheng
Arif ana-dai base.,Sheng
Karao ina-bamba kwa matha.,Sheng
Mbogi ana-dai kwa matha.,Sheng
Mbogi ina-lapa kwa matha.,Sheng
Huyu boy ame-doz kwa keja.,Sheng
Rasta ame-doz job.,Sheng
Ma-dem ina-bamba mtaa.,Sheng
Huyu boy ime-weza mtaa.,Sheng
Ma-dem ime-weza mashinani.,Sheng
Huyu boy wame-kam base.,Sheng
Buda ana-zusha area.,Sheng
Buda ina-bamba kwa matha.,Sheng
Manzi ame-hepa chuom.,Sheng
Arif ana-zusha kwa matha.,Sheng
Huyu boy ana-dai mashinani.,Sheng
Msee ame-doz area.,Sheng
Donda ame-doz downtown.,Sheng
Arif ame-doz mtaa.,Sheng
Manzi ana-zusha tao.,Sheng
Karao tuna-chill mashinani.,Sheng
Mbogi wame-kam kwa keja.,Sheng
Buda wame-kam mashinani.,Sheng
Buda ina-bamba chuom.,Sheng
Donda ana-zusha base.,Sheng
Donda ame-hepa kwa matha.,Sheng
Mbogi ame-omoka mtaa.,Sheng
Arif ana-zusha area.,Sheng
Mbogi ina-bamba chuom.,Sheng
Manzi ame-omoka mtaa.,Sheng
Huyu boy ame-doz kwa matha.,Sheng
Msee ina-bamba area.,Sheng
Buda tuna-chill tao.,Sheng
Donda tuna-chill job.,Sheng
Karao ana-zusha chuom.,Sheng
Mbogi tuna-chill mashinani.,Sheng
Donda ame-omoka chuom.,Sheng
Karao ame-omoka kwa matha.,Sheng
Karao tuna-chill downtown.,Sheng
Mbogi ina-bamba area.,Sheng
Ma-dem ame-hepa mashinani.,Sheng
Buda ina-lapa chuom.,Sheng
Buda wame-kam base.,Sheng
Karao ime-weza kwa keja.,Sheng
Msee ime-weza chuom.,Sheng
Manzi ina-bamba chuom.,Sheng
Mbogi ina-bamba kwa keja.,Sheng
Rasta ime-weza downtown.,Sheng
Rasta tuna-chill mashinani.,Sheng
Arif ame-doz base.,Sheng
Buda ana-zusha tao.,Sheng
Karao wame-kam kwa keja.,Sheng
Mbogi ina-bamba base.,Sheng
Ma-dem ame-doz tao.,Sheng
Rasta ime-weza chuom.,Sheng
Manzi wame-kam chuom.,Sheng
Rasta ina-lapa area.,Sheng
Huyu boy ana-zusha area.,Sheng
Ma-dem ana-dai area.,Sheng
Rasta ame-doz tao.,Sheng
Huyu boy ana-dai area.,Sheng
Rasta ime-weza mtaa.,Sheng
Donda ame-doz job.,Sheng
Arif ina-lapa mashinani.,Sheng
Mbogi ina-lapa mashinani.,Sheng
Donda wame-kam downtown.,Sheng
Karao ina-lapa tao.,Sheng
Buda ame-doz tao.,Sheng
Karao ame-omoka base.,Sheng
Donda ame-doz base.,Sheng
Buda ina-lapa base.,Sheng
Rasta ame-doz chuom.,Sheng
Rasta ana-dai area.,Sheng
Rasta ana-zusha mtaa.,Sheng
Buda ame-hepa kwa keja.,Sheng
Donda ame-doz chuom.,Sheng
Arif ame-hepa job.,Sheng
Ma-dem ame-hepa tao.,Sheng
Msee ana-dai base.,Sheng
Manzi ana-zusha area.,Sheng
Karao ana-zusha mashinani.,Sheng
Rasta ina-bamba job.,Sheng
Msee ana-zusha downtown.,Sheng
Karao ame-omoka chuom.,Sheng
Arif ame-omoka mtaa.,Sheng
Ma-dem ina-bamba area.,Sheng
Ma-dem ana-dai kwa keja.,Sheng
Karao ame-doz kwa keja.,Sheng
Donda ime-weza kwa matha.,Sheng
Buda ina-lapa downtown.,Sheng
Manzi ime-weza downtown.,Sheng
Msee ame-omoka tao.,Sheng
Rasta ame-omoka job.,Sheng
Karao wame-kam tao.,Sheng
Donda ime-weza kwa keja.,Sheng
Msee ana-zusha kwa keja.,Sheng
Huyu boy ime-weza job.,Sheng
Mbogi ana-dai mashinani.,Sheng
Mbogi ana-zusha chuom.,Sheng
Buda ina-bamba job.,Sheng
Arif ime-weza kwa matha.,Sheng
Mbogi ame-omoka tao.,Sheng
Rasta ame-omoka kwa matha.,Sheng
Donda ana-zusha kwa matha.,Sheng
Karao ime-weza mashinani.,Sheng
Ma-dem ame-hepa kwa keja.,Sheng
Msee ana-zusha base.,Sheng
Rasta ame-hepa downtown.,Sheng
Arif ana-dai area.,Sheng
Ma-dem ina-bamba tao.,Sheng
Msee ame-doz chuom.,Sheng
Arif ime-weza base.,Sheng
Manzi wame-kam kwa matha.,Sheng
Manzi ana-dai chuom.,Sheng
Karao ame-doz chuom.,Sheng
Rasta ame-omoka tao.,Sheng
Huyu boy ana-zusha chuom.,Sheng
Arif ame-doz kwa keja.,Sheng
Huyu boy ame-hepa chuom.,Sheng
Arif ina-lapa chuom.,Sheng
Donda ana-zusha job.,Sheng
Arif ime-weza mtaa.,Sheng
Buda tuna-chill job.,Sheng
Donda ana-zusha mashinani.,Sheng
Karao ame-hepa base.,Sheng
Msee ame-hepa area.,Sheng
Mbogi tuna-chill kwa matha.,Sheng
Rasta ina-bamba base.,Sheng
Huyu boy ana-dai mtaa.,Sheng
Ma-dem ina-lapa mashinani.,Sheng
Mbogi ime-weza kwa keja.,Sheng
Manzi ana-zusha mtaa.,Sheng
Arif wame-kam mashinani.,Sheng
Ma-dem ina-bamba kwa matha.,Sheng
Rasta ana-zusha chuom.,Sheng
Buda ame-omoka mashinani.,Sheng
Ma-dem ame-omoka kwa keja.,Sheng
Manzi ana-dai area.,Sheng
Rasta ina-bamba tao.,Sheng
Buda ame-hepa mashinani.,Sheng
Msee ame-doz downtown.,Sheng
Msee ame-doz mashinani.,Sheng
Huyu boy ana-zusha kwa matha.,Sheng
Ma-dem ame-hepa kwa matha.,Sheng
Arif ana-dai tao.,Sheng
Mbogi ame-doz mtaa.,Sheng
Mbogi ame-hepa job.,Sheng
Huyu boy ime-weza area.,Sheng
Huyu boy ina-lapa tao.,Sheng
Manzi ina-lapa tao.,Sheng
Donda ina-lapa mtaa.,Sheng
Mbogi ana-zusha kwa matha.,Sheng
Huyu boy tuna-chill downtown.,Sheng
Mbogi wame-kam kwa matha.,Sheng
Huyu boy ina-lapa chuom.,Sheng
Huyu boy ina-lapa area.,Sheng
Donda ame-doz tao.,Sheng
Huyu boy wame-kam kwa matha.,Sheng
Huyu boy ame-omoka mtaa.,Sheng
Msee ame-doz kwa keja.,Sheng
Mbogi ina-lapa area.,Sheng
Buda ime-weza base.,Sheng
Mbogi ime-weza base.,Sheng
Karao tuna-chill kwa keja.,Sheng
Ma-dem wame-kam mtaa.,Sheng
Buda ana-zusha chuom.,Sheng
Msee ina-lapa kwa matha.,Sheng
Karao ame-hepa downtown.,Sheng
Huyu boy ina-lapa downtown.,Sheng
Buda wame-kam kwa matha.,Sheng
Karao ame-hepa tao.,Sheng
Manzi tuna-chill mashinani.,Sheng
Karao ame-doz kwa matha.,Sheng
Rasta ina-lapa chuom.,Sheng
Msee tuna-chill chuom.,Sheng
Rasta ina-bamba mtaa.,Sheng
Rasta wame-kam mashinani.,Sheng
Buda ame-omoka job.,Sheng
Mbogi ame-hepa chuom.,Sheng
Ma-dem ina-lapa kwa keja.,Sheng
Donda ina-lapa base.,Sheng
Buda tuna-chill mtaa.,Sheng
Rasta ana-dai downtown.,Sheng
Arif tuna-chill downtown.,Sheng
Mbogi ana-zusha mtaa.,Sheng
Rasta ana-dai mtaa.,Sheng
Karao ina-lapa kwa keja.,Sheng
Arif ame-omoka chuom.,Sheng
Mbogi ana-dai mtaa.,Sheng
Ma-dem ame-omoka chuom.,Sheng
Mbogi ame-hepa downtown.,Sheng
Buda ame-omoka tao.,Sheng
Manzi ana-zusha chuom.,Sheng
Donda ame-doz mtaa.,Sheng
Donda ame-omoka mtaa.,Sheng
Rasta ame-doz kwa matha.,Sheng
Ma-dem ana-zusha mashinani.,Sheng
Huyu boy ame-hepa area.,Sheng
Donda ana-dai downtown.,Sheng
Karao wame-kam chuom.,Sheng
Arif ame-doz job.,Sheng
Karao ame-omoka mashinani.,Sheng
Donda ina-lapa tao.,Sheng
Karao ana-dai downtown.,Sheng
Msee tuna-chill kwa keja.,Sheng
Ma-dem ina-lapa kwa matha.,Sheng
Manzi ame-hepa base.,Sheng
Rasta ame-doz downtown.,Sheng
Rasta ame-hepa mtaa.,Sheng
Karao ina-bamba kwa keja.,Sheng
Arif ana-dai kwa keja.,Sheng
Msee ina-lapa mashinani.,Sheng
Rasta ime-weza job.,Sheng
Buda ina-lapa job.,Sheng
Buda ame-omoka base.,Sheng
Buda ime-weza downtown.,Sheng
Mbogi ana-zusha mashinani.,Sheng
Karao wame-kam mtaa.,Sheng
Huyu boy wame-kam mashinani.,Sheng
Rasta tuna-chill area.,Sheng
Msee ana-dai chuom.,Sheng
Donda ame-hepa mtaa.,Sheng
Rasta ime-weza tao.,Sheng
Karao ame-hepa mtaa.,Sheng
Manzi ame-omoka base.,Sheng
Huyu boy ame-omoka tao.,Sheng
Msee ime-weza kwa matha.,Sheng
Rasta ana-dai mashinani.,Sheng
Huyu boy ame-doz tao.,Sheng
Msee ina-lapa mtaa.,Sheng
Donda wame-kam mashinani.,Sheng
Ma-dem ame-doz base.,Sheng
Ma-dem ina-lapa area.,Sheng
Mbogi ame-omoka base.,Sheng
Karao ame-omoka mtaa.,Sheng
Msee tuna-chill downtown.,Sheng
Manzi ana-zusha mashinani.,Sheng
Ma-dem ime-weza downtown.,Sheng
Mbogi ina-bamba mashinani.,Sheng
Ma-dem tuna-chill mtaa.,Sheng
Buda ime-weza job.,Sheng
Donda ame-hepa job.,Sheng
Huyu boy tuna-chill mashinani.,Sheng
Msee ame-omoka area.,Sheng
Arif ana-dai mashinani.,Sheng
Mbogi ame-omoka kwa matha.,Sheng
Buda ame-doz kwa matha.,Sheng
Donda tuna-chill mtaa.,Sheng
Donda ana-zusha kwa keja.,Sheng
Ma-dem ina-lapa mtaa.,Sheng
Donda ina-bamba chuom.,Sheng
Manzi ame-hepa kwa matha.,Sheng
Rasta ame-hepa job.,Sheng
Ma-dem ame-doz job.,Sheng
Karao wame-kam kwa matha.,Sheng
Msee ina-bamba downtown.,Sheng
Ma-dem ime-weza job.,Sheng
Rasta wame-kam base.,Sheng
Buda ame-omoka downtown.,Sheng
Arif ana-zusha base.,Sheng
Huyu boy ame-doz mtaa.,Sheng
Buda ina-lapa area.,Sheng
Donda ana-dai area.,Sheng
Huyu boy ame-hepa downtown.,Sheng
Buda ina-bamba area.,Sheng
Donda ana-dai chuom.,Sheng
Ma-dem ina-bamba downtown.,Sheng
Rasta ina-lapa mashinani.,Sheng
Buda tuna-chill area.,Sheng
Arif wame-kam downtown.,Sheng
Ma-dem ime-weza chuom.,Sheng
Mbogi ime-weza chuom.,Sheng
Donda ame-hepa tao.,Sheng
Ma-dem ana-dai job.,Sheng
Ma-dem ana-dai chuom.,Sheng
Buda wame-kam area.,Sheng
Donda ime-weza tao.,Sheng
Msee ana-dai mashinani.,Sheng
Manzi ana-dai tao.,Sheng
Rasta ame-omoka kwa keja.,Sheng
Mbogi wame-kam tao.,Sheng
Ma-dem wame-kam kwa keja.,Sheng
Buda ame-doz kwa keja.,Sheng
Msee ame-hepa kwa matha.,Sheng
Manzi ime-weza chuom.,Sheng
Mbogi wame-kam base.,Sheng
Arif ime-weza mashinani.,Sheng
Donda ame-omoka kwa keja.,Sheng
Mbogi ame-hepa base.,Sheng
Mbogi wame-kam downtown.,Sheng
Donda ina-lapa job.,Sheng
Msee ime-weza kwa keja.,Sheng
Karao wame-kam area.,Sheng
Rasta ana-zusha downtown.,Sheng
Ma-dem ina-lapa downtown.,Sheng
Mbogi ame-omoka chuom.,Sheng
Manzi ame-doz tao.,Sheng
Rasta ame-hepa base.,Sheng
Mbogi ana-dai area.,Sheng
Donda tuna-chill kwa matha.,Sheng
Karao ana-dai base.,Sheng
Huyu boy tuna-chill kwa matha.,Sheng
Karao ina-bamba mashinani.,Sheng
Manzi ame-hepa downtown.,Sheng
Huyu boy ana-zusha kwa keja.,Sheng
Rasta ame-hepa kwa keja.,Sheng
Rasta wame-kam mtaa.,Sheng
Mbogi ana-zusha job.,Sheng
Msee ana-zusha chuom.,Sheng
Donda ana-dai mashinani.,Sheng
Huyu boy ame-omoka kwa keja.,Sheng
Arif ina-bamba base.,Sheng
Ma-dem ana-zusha chuom.,Sheng
Ma-dem wame-kam job.,Sheng
Ma-dem ime-weza kwa matha.,Sheng
Buda ime-weza kwa keja.,Sheng
Donda ina-bamba mtaa.,Sheng
Msee wame-kam kwa keja.,Sheng
Manzi ina-bamba area.,Sheng
Huyu boy ana-dai kwa keja.,Sheng
Msee ina-lapa base.,Sheng
Manzi ana-dai kwa matha.,Sheng
Msee ana-dai downtown.,Sheng
Donda ina-lapa chuom.,Sheng
Msee ana-zusha area.,Sheng
Manzi ina-bamba mtaa.,Sheng
Msee ina-bamba chuom.,Sheng
Buda ana-dai mtaa.,Sheng
Manzi tuna-chill base.,Sheng
Manzi ina-lapa base.,Sheng
Manzi ana-dai mtaa.,Sheng
Karao ina-lapa mashinani.,Sheng
Mbogi wame-kam job.,Sheng
Rasta ana-zusha mashinani.,Sheng
Buda tuna-chill downtown.,Sheng
Ma-dem ime-weza mtaa.,Sheng
Huyu boy ame-doz chuom.,Sheng
Ma-dem ame-doz area.,Sheng
Karao ame-hepa job.,Sheng
Rasta ina-bamba downtown.,Sheng
Huyu boy ime-weza chuom.,Sheng
Arif wame-kam area.,Sheng
Manzi ime-weza mashinani.,Sheng
Ma-dem tuna-chill downtown.,Sheng
Arif ina-lapa area.,Sheng
Arif ina-bamba area.,Sheng
Donda ame-omoka area.,Sheng
Ma-dem ina-lapa base.,Sheng
Buda ime-weza mtaa.,Sheng
Mbogi ame-doz job.,Sheng
Donda ina-lapa kwa keja.,Sheng
Buda ame-doz downtown.,Sheng
Karao ime-weza base.,Sheng
Manzi ame-omoka chuom.,Sheng
Karao ame-hepa chuom.,Sheng
Donda ana-zusha tao.,Sheng
Arif ame-omoka base.,Sheng
Karao ina-lapa base.,Sheng
Mbogi tuna-chill kwa keja.,Sheng
Arif ame-omoka tao.,Sheng
Arif ana-zusha job.,Sheng
Karao ina-bamba chuom.,Sheng
Mbogi ina-bamba tao.,Sheng
Mbogi ame-hepa mashinani.,Sheng
Huyu boy ina-bamba area.,Sheng
Mbogi ana-zusha area.,Sheng
Ma-dem ina-bamba job.,Sheng
Arif ame-hepa kwa keja.,Sheng
Mbogi ame-hepa kwa matha.,Sheng
Donda ina-bamba base.,Sheng
Ma-dem ana-zusha kwa keja.,Sheng
Rasta tuna-chill kwa matha.,Sheng
Rasta ana-zusha area.,Sheng
Donda wame-kam chuom.,Sheng
Ma-dem ame-omoka mtaa.,Sheng
Buda ana-dai base.,Sheng
Arif tuna-chill job.,Sheng
Rasta ame-hepa tao.,Sheng
Manzi wame-kam tao.,Sheng
Mbogi tuna-chill area.,Sheng
Donda tuna-chill tao.,Sheng
Huyu boy ina-lapa base.,Sheng
Buda ina-bamba downtown.,Sheng
Manzi wame-kam base.,Sheng
Ma-dem ina-lapa chuom.,Sheng
Arif wame-kam mtaa.,Sheng
Rasta ime-weza base.,Sheng
Ma-dem ana-zusha area.,Sheng
Mbogi ame-omoka mashinani.,Sheng
Arif tuna-chill area.,Sheng
Manzi ime-weza area.,Sheng
Karao ina-bamba downtown.,Sheng
Karao ime-weza tao.,Sheng
Karao ina-bamba base.,Sheng
